query-1: Muestra la cantidad total de dinero abonado por los clientes que han adquirido el ‚Äú1940 Ford Pickup Truck‚Äù
 cnb |              cna               |    sum    
-----+--------------------------------+-----------
 475 | West Coast Collectables Co.    |  43748.72
 282 | Souveniers And Things Co.      |  91655.61
 256 | Auto AssociÈs & Cie.           |  58876.41
 124 | Mini Gifts Distributors Ltd.   | 584188.24
 458 | Corrida Auto Replicas, Ltd     | 112440.09
 452 | Mini Auto Werke                |  51059.99
 339 | Classic Gift Ideas, Inc        |  57939.34
 398 | Tokyo Collectables, Ltd        | 105548.73
 455 | Super Scale Inc.               |  70378.65
 363 | Online Diecast Creations Co.   | 116449.29
 233 | QuÈbec Home Shopping Network   |  68977.67
 448 | Scandinavian Gift Ideas        |  76776.44
 114 | Australian Collectors, Co.     | 180585.07
 249 | Amica Models & Co.             |  82223.23
 129 | Mini Wheels Co.                |  66710.56
 321 | Corporate Gift Ideas Co.       | 132340.78
 173 | Cambridge Collectables Co.     |  32198.69
 202 | Canadian Gift Exchange Network |  70122.19
 161 | Technics Stores Inc.           | 104545.22
 146 | Saveley & Henriot, Co.         | 130305.35
 141 | Euro+ Shopping Channel         | 715738.98
 333 | Australian Gift Network, Co    |  55190.16
 276 | Annas Decorations, Ltd         | 137034.22
 148 | Dragon Souveniers, Ltd.        | 156251.03
 121 | Baane Mini Imports             | 104224.79
(25 filas)

