query6: Se desea un listado de todas las parejas de productos que aparezcan en más de un carro de la compra
 productcode | productcode | cestas 
-------------+-------------+--------
 S700_2610   | S24_3420    |      8
 S18_1342    | S24_2766    |      5
 S50_4713    | S18_1984    |      3
 S32_3207    | S24_4048    |     20
 S24_1444    | S18_3259    |      5
 S700_1938   | S24_3816    |      6
 S10_4962    | S18_2795    |      2
 S18_3259    | S50_1514    |     14
 S24_1444    | S18_3140    |      4
 S700_1938   | S18_3140    |     23
 S700_1691   | S700_4002   |     18
 S24_3420    | S700_2047   |     25
 S700_2047   | S700_2610   |     10
 S18_1129    | S32_4485    |      3
 S18_2319    | S50_1392    |     16
 S18_1662    | S700_1938   |      2
 S700_2466   | S18_2625    |      5
 S32_4289    | S24_3816    |      2
 S700_2466   | S700_3505   |      2
 S700_2047   | S72_1253    |     27
 S18_2795    | S18_4668    |      2
 S18_4668    | S18_1367    |      4
 S18_3136    | S24_2022    |      9
 S18_2319    | S18_4027    |      9
 S32_1268    | S24_4258    |      7
 S50_1341    | S700_2610   |      2
 S24_1937    | S24_1046    |     11
 S700_2610   | S24_3151    |     22
 S24_2022    | S18_4409    |     13
 S72_1253    | S24_3816    |     18
 S12_4473    | S18_3232    |     21
 S32_2509    | S32_3207    |     12
 S18_2581    | S24_4278    |     23
 S18_1097    | S18_1367    |      9
 S24_1046    | S12_4675    |      3
 S18_1889    | S18_3782    |      6
 S18_2957    | S18_1367    |     16
 S24_1578    | S700_1691   |      4
 S18_2581    | S700_1938   |      2
 S32_3207    | S18_4027    |     19
 S12_3891    | S72_3212    |      8
 S12_1099    | S24_1578    |      5
 S12_4675    | S24_3432    |      3
 S12_3380    | S18_2625    |      3
 S24_3856    | S24_3191    |      3
 S12_1108    | S18_2319    |      2
 S24_2841    | S18_1662    |     23
 S700_2047   | S700_4002   |     17
 S24_3949    | S18_2625    |      5
 S24_3432    | S18_1129    |      7
 S24_2300    | S18_4668    |     12
 S18_3029    | S72_1253    |     20
 S18_4522    | S24_2011    |     24
 S18_1589    | S24_3191    |     12
 S24_3856    | S32_4485    |      5
 S12_3891    | S24_3816    |      2
 S72_3212    | S10_4757    |     13
 S18_1984    | S24_4620    |      5
 S24_2360    | S700_2834   |      3
 S32_1268    | S24_4048    |      4
 S18_1749    | S18_3685    |      4
 S24_4620    | S10_2016    |      2
 S18_2957    | S24_2022    |      9
 S18_2248    | S18_1342    |     10
 S18_2581    | S50_1341    |     17
 S12_1108    | S24_4258    |      2
 S18_4409    | S24_3191    |     16
 S12_4675    | S18_1889    |     25
 S12_1108    | S12_3148    |     21
 S18_2248    | S18_2949    |      3
 S72_1253    | S18_2625    |      2
 S32_4289    | S18_1662    |      8
 S18_3259    | S18_3232    |      2
 S12_2823    | S24_4620    |      7
 S700_1138   | S18_3259    |     14
 S24_3969    | S24_3432    |     12
 S18_2625    | S24_1785    |      9
 S12_1099    | S18_4721    |     14
 S18_3482    | S18_3685    |      2
 S18_1342    | S24_3432    |      4
 S50_4713    | S10_1678    |     12
 S700_2466   | S10_1678    |      4
 S32_2206    | S18_3782    |     21
 S24_2766    | S18_2870    |     10
 S10_1949    | S18_1097    |     25
 S18_1129    | S18_1589    |     13
 S18_2581    | S24_3420    |      5
 S18_4409    | S18_2795    |     11
 S18_4668    | S18_2949    |     12
 S32_1268    | S10_1949    |      8
 S18_2949    | S24_2022    |      8
 S700_3962   | S18_3140    |     14
 S24_3371    | S18_3482    |     23
 S24_2841    | S700_3167   |     10
 S12_4675    | S18_1129    |     12
 S18_2625    | S700_4002   |      5
 S12_1666    | S18_1342    |      3
 S700_1938   | S18_2581    |      2
 S700_2824   | S18_4600    |     19
 S700_2047   | S700_2466   |     14
 S24_2300    | S700_2824   |     17
 S18_3685    | S18_2325    |      2
 S72_1253    | S18_3856    |     22
 S700_4002   | S700_3167   |     20
 S18_2238    | S18_4600    |      6
 S700_3505   | S18_3856    |      8
 S24_4278    | S18_2581    |     23
 S18_1342    | S24_3191    |      5
 S24_3856    | S18_2870    |     11
 S18_4668    | S18_2238    |      4
 S10_1678    | S700_2466   |      4
 S72_1253    | S10_2016    |      3
 S18_3782    | S24_1578    |      6
 S18_1984    | S18_4721    |      5
 S18_4933    | S18_3320    |      4
 S12_3380    | S10_4698    |      2
 S18_3482    | S24_2972    |     12
 S18_3140    | S24_1444    |      4
 S18_1749    | S24_1628    |      9
 S32_3207    | S72_3212    |      3
 S24_3949    | S700_2834   |     12
 S12_1666    | S12_4473    |      2
 S50_1392    | S12_4473    |     19
 S24_3151    | S18_4027    |      3
 S50_4713    | S24_4278    |      2
 S18_4668    | S10_1949    |     18
 S18_1129    | S12_1099    |      8
 S18_1129    | S18_4409    |      2
 S18_2248    | S24_1937    |     19
 S18_3136    | S24_3969    |      5
 S18_1367    | S18_1749    |      9
 S32_1268    | S18_1097    |      9
 S10_4757    | S50_1392    |      4
 S18_4721    | S24_2000    |      2
 S24_2887    | S18_2248    |     13
 S12_1108    | S24_2840    |      4
 S18_2319    | S24_1444    |     18
 S32_4485    | S24_3856    |      5
 S32_3522    | S24_2300    |     15
 S24_3432    | S18_3685    |     10
 S24_1578    | S24_2360    |      9
 S700_1938   | S24_4048    |      3
 S18_2319    | S24_4258    |      3
 S700_2466   | S18_1662    |     16
 S18_2949    | S24_2300    |      3
 S18_3140    | S24_3151    |     12
 S18_4409    | S18_1129    |      2
 S18_2325    | S18_1129    |      3
 S700_2610   | S72_1253    |     10
 S24_1628    | S24_2887    |     12
 S18_3482    | S50_4713    |      9
 S12_4675    | S24_2000    |      4
 S18_2248    | S18_1749    |     23
 S18_4933    | S24_1046    |     19
 S32_3207    | S700_2824   |      2
 S24_3949    | S18_3029    |     12
 S18_1097    | S18_1342    |      6
 S24_2972    | S18_1889    |     19
 S72_1253    | S700_3962   |      6
 S18_3685    | S24_3432    |     10
 S24_2840    | S18_4027    |     11
 S700_1938   | S18_4522    |     20
 S24_4258    | S18_2949    |     18
